SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	defaultb	B6	3/6
SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	defaultb	B7	0/2
SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	npairb	B25	4/7
SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	npairb	B28	1/4
SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	npairb	B29	0/2
NÃO com.jasml.decompiler.JavaClassParser	private void readConstantPool() throws java.io.IOException	items	B1	0/42
NÃO com.jasml.decompiler.JavaClassParser	private void readConstantPool() throws java.io.IOException	items	B2	0/40
NÃO com.jasml.decompiler.JavaClassParser	private void readConstantPool() throws java.io.IOException	items	B3	17/37
NÃO com.jasml.decompiler.SourceCodeBuilder	private HashSet#RAW calculateReferences(com.jasml.classes.Method) 	ops	B1	0/5
NÃO com.jasml.decompiler.SourceCodeBuilder	private HashSet#RAW calculateReferences(com.jasml.classes.Method) 	ops	B2	0/4
NÃO com.jasml.decompiler.SourceCodeBuilder	private HashSet#RAW calculateReferences(com.jasml.classes.Method) 	ops	B3	1/2
NÃO com.jasml.decompiler.SourceCodeBuilder	private java.lang.String toString(com.jasml.classes.Attribute_Code, HashSet#RAW) 	lvts	B1	0/5
NÃO com.jasml.decompiler.SourceCodeBuilder	private java.lang.String toString(com.jasml.classes.Attribute_Code, HashSet#RAW) 	lvts	B2	0/4
NÃO com.jasml.decompiler.SourceCodeBuilder	private java.lang.String toString(com.jasml.classes.Attribute_Code, HashSet#RAW) 	lvts	B3	1/2
SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	lowb	B6	4/7
